,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2153,2022-01-06 14:00:00,0.12288735336436243,-0.5177987556482379,0.7385920861987273,0.028005600591762478,0.21448696800584305,0.01469751762145779,0.01469751762145779,0.01469751762145779,-0.005725159190590673,-0.005725159190590673,-0.005725159190590673,0.019611178356195354,0.019611178356195354,0.019611178356195354,0.0008114984558531069,0.0008114984558531069,0.0008114984558531069,0.0,0.0,0.0,0.13758487098582023
2154,2022-01-06 15:00:00,0.12290132025461971,-0.5421931538182916,0.7517965595596987,0.027969301361014016,0.2146014038995326,0.01728764929408535,0.01728764929408535,0.01728764929408535,-0.0038413881060793895,-0.0038413881060793895,-0.0038413881060793895,0.020326252602102288,0.020326252602102288,0.020326252602102288,0.0008027847980624523,0.0008027847980624523,0.0008027847980624523,0.0,0.0,0.0,0.14018896954870505
2155,2022-01-06 16:00:00,0.12291528714487687,-0.49132237796322364,0.7892304544305407,0.02793300213026646,0.21471583979322034,0.020538204035615765,0.020538204035615765,0.020538204035615765,-0.0011672851109049388,-0.0011672851109049388,-0.0011672851109049388,0.02091105758828033,0.02091105758828033,0.02091105758828033,0.0007944315582403693,0.0007944315582403693,0.0007944315582403693,0.0,0.0,0.0,0.14345349118049264
2156,2022-01-06 17:00:00,0.12292925403513405,-0.4940169341366479,0.8074879423866408,0.02789670289951844,0.21483027568690719,0.023601776705666527,0.023601776705666527,0.023601776705666527,0.0014551522000124171,0.0014551522000124171,0.0014551522000124171,0.021360186853292325,0.021360186853292325,0.021360186853292325,0.0007864376523617808,0.0007864376523617808,0.0007864376523617808,0.0,0.0,0.0,0.14653103074080057
2157,2022-01-06 18:00:00,0.12294322092539121,-0.4809223872268427,0.8288041990798893,0.027860403668770885,0.21494471158059494,0.026569320940040327,0.026569320940040327,0.026569320940040327,0.0041209422912153884,0.0041209422912153884,0.0041209422912153884,0.021669576671561424,0.021669576671561424,0.021669576671561424,0.0007788019772635189,0.0007788019772635189,0.0007788019772635189,0.0,0.0,0.0,0.14951254186543153
2158,2022-01-06 19:00:00,0.12295718781564838,-0.4930386940836465,0.7788925418986535,0.02782410443802288,0.21505914747428267,0.030177683450141834,0.030177683450141834,0.030177683450141834,0.007569607500267286,0.007569607500267286,0.007569607500267286,0.021836552539112472,0.021836552539112472,0.021836552539112472,0.0007715234107620773,0.0007715234107620773,0.0007715234107620773,0.0,0.0,0.0,0.1531348712657902
2159,2022-01-06 20:00:00,0.12297115470590554,-0.47749550512978967,0.7621075995763303,0.02778780520727532,0.2151735833679695,0.03448144501095566,0.03448144501095566,0.03448144501095566,0.011856984444605295,0.011856984444605295,0.011856984444605295,0.021859859754664424,0.021859859754664424,0.021859859754664424,0.0007646008116859422,0.0007646008116859422,0.0007646008116859422,0.0,0.0,0.0,0.1574525997168612
2160,2022-01-06 21:00:00,0.12298512159616283,-0.48808203876709877,0.8160629002890354,0.027751505976526848,0.21528801926165905,0.03794735920103435,0.03794735920103435,0.03794735920103435,0.015449648458273195,0.015449648458273195,0.015449648458273195,0.02173967772275153,0.02173967772275153,0.02173967772275153,0.0007580330200096227,0.0007580330200096227,0.0007580330200096227,0.0,0.0,0.0,0.16093248079719719
2161,2022-01-06 22:00:00,0.12299908848642,-0.4933555857654093,0.7745384941328156,0.02771520674577929,0.21540245515534592,0.03817394982489186,0.03817394982489186,0.03817394982489186,0.01594451316504596,0.01594451316504596,0.01594451316504596,0.021477617802968387,0.021477617802968387,0.021477617802968387,0.0007518188568775213,0.0007518188568775213,0.0007518188568775213,0.0,0.0,0.0,0.16117303831131186
2162,2022-01-06 23:00:00,0.12301305537667716,-0.4255972990300136,0.7743831779596536,0.027678907515031288,0.21551689104903365,0.03385207839243421,0.03385207839243421,0.03385207839243421,0.012029416539792942,0.012029416539792942,0.012029416539792942,0.02107670472794428,0.02107670472794428,0.02107670472794428,0.0007459571246969893,0.0007459571246969893,0.0007459571246969893,0.0,0.0,0.0,0.15686513376911138
